Designation,LCDB_Period [hours],Best_Period [hours],Manual_Overwrite,Reliability_Flag,Comments,#Minima,Chi2_g,Chi2_r,Avg_Chi2,N_obs_g,N_obs_r,Amplitude,Peak_Period,Half_Period,Twice_Period,Diameter,Diameter_Unit
60401,,4.732,,1,,2,0.5074245396,0.6842291767,0.5958268581,101,163,0.04874607888,8.662,4.732,17.013,18.382,km
63195,7.113,10.514,7.113,3,,2,0.5839816576,0.6226961284,0.603338893,83,154,0.2488465252,10.514,5.423,14.859,24.692,km
63287,17.682,43.407,,3,,2,0.9989514719,1.066862907,1.032907189,48,87,0.3144448043,26.682,12.617,43.407,18.666,km
65257,17.83,17.856,,3,,2,0.4569041869,0.6781491513,0.5675266691,57,100,0.2040076749,17.856,8.928,35.13,23.01,km
67065,,71.861,,2,,1,0.8430889128,1.039883752,0.9414863322,120,185,0.1689955695,71.861,35.921,71.959,,
68444,,5.654,,2,,1,0.5814479812,0.5995784262,0.5905132037,90,127,0.151594773,5.654,2.827,11.099,28.373,km
85798,,14.623,,2,,2,0.6583052573,0.756212579,0.7072589181,130,158,0.0819402826,14.623,7.312,31.581,,
85807,,18.872,,1,,1,0.5368600968,0.7062327338,0.6215464153,93,159,0.2908286105,18.872,8.533,39.777,22.309,km
90337,60,4.832,,2,,2,0.7620130152,0.6576629187,0.7098379669,68,118,0.063203764,9.027,4.832,16.284,29.391,km
103989,,5.496,,3,,2,0.6144341871,0.5843987333,0.5994164602,51,106,0.161048109,5.496,2.748,10.696,21.913,km
107804,,36.192,17.887,2,,3,0.8263156786,0.7024801628,0.7643979207,59,93,0.151304122,36.192,17.887,70.723,18.303,km
116969,,10.359,,3,,2,0.7954545176,0.7300370896,0.7627458036,90,215,0.1651396785,10.359,4.853,19.588,20.798,km
117447,,29.549,,3,,2,0.5875290503,0.7588814165,0.6732052334,52,90,0.1705526988,29.549,14.774,63.071,30.603,km
130190,,70.803,,2,,2,1.568175256,1.897996751,1.733086003,68,119,0.2512134421,58.522,29.843,70.803,17.168,km
134720,,5.112,,3,,2,0.6273776055,0.6043787842,0.6158781949,84,187,0.1116291147,5.112,2.557,9.746,28.299,km
134749,,6.994,,3,,2,0.5095980474,0.7092845907,0.6094413191,59,132,0.1504948969,6.994,3.497,14.812,25.881,km
134965,10.596,10.596,,3,,2,0.5316696542,0.6321113883,0.5818905212,67,123,0.2060573664,5.298,2.813,10.596,18.586,km
